question_id,method,model,n_samples,tokens_in,tokens_out,cost_usd,latency_s,prediction,score,label
0,verbalized_confidence,llama-3.1-8b-instant,1,121,12,7.010000000000001e-06,1.283217499993043,False,100.0,False
0,llm_judge,llama-3.1-8b-instant,1,161,5,8.45e-06,3.0008743000071263,True,,False
0,verbalized_confidence,llama-3.3-70b-versatile,1,121,12,8.087e-05,0.2522720999986632,False,100.0,False
0,llm_judge,llama-3.3-70b-versatile,1,168,12,0.00010859999999999998,2.889786300002015,False,,False
0,self_consistency,llama-3.1-8b-instant,1,71,7,4.1100000000000005e-06,1.3745155000069644,False,1.0,False
0,self_consistency,llama-3.1-8b-instant,3,213,24,1.257e-05,4.389289700004156,True,0.3333333333333333,False
0,self_consistency,llama-3.1-8b-instant,5,355,37,2.0710000000000003e-05,7.355733699994744,True,0.2,False
0,self_consistency,llama-3.1-8b-instant,10,710,63,4.054000000000001e-05,14.886231900018174,False,0.5,False
0,semantic_entropy,llama-3.1-8b-instant,1,71,7,4.1100000000000005e-06,1.3745155000069644,False,0.0,False
0,semantic_entropy,llama-3.1-8b-instant,3,213,24,1.257e-05,4.389289700004156,True,0.9999999999999998,False
0,semantic_entropy,llama-3.1-8b-instant,5,355,37,2.0710000000000003e-05,7.355733699994744,True,0.8277293767706428,False
0,semantic_entropy,llama-3.1-8b-instant,10,710,63,4.054000000000001e-05,14.886231900018174,False,0.5301029995663982,False
0,self_consistency,llama-3.3-70b-versatile,1,71,7,4.742e-05,0.23527659999672323,False,1.0,False
0,self_consistency,llama-3.3-70b-versatile,3,213,25,0.00014542,3.308940299990354,True,0.3333333333333333,False
0,self_consistency,llama-3.3-70b-versatile,5,355,42,0.00024263,6.206930899978033,True,0.2,False
0,self_consistency,llama-3.3-70b-versatile,10,710,74,0.00047736,13.654297599961865,True,0.2,False
0,semantic_entropy,llama-3.3-70b-versatile,1,71,7,4.742e-05,0.23527659999672323,False,0.0,False
0,semantic_entropy,llama-3.3-70b-versatile,3,213,25,0.00014542,3.308940299990354,False,0.5793801642856949,False
0,semantic_entropy,llama-3.3-70b-versatile,5,355,42,0.00024263,6.206930899978033,False,0.4181656600790517,False
0,semantic_entropy,llama-3.3-70b-versatile,10,710,74,0.00047736,13.654297599961865,False,0.55583362792012,False
1,verbalized_confidence,llama-3.1-8b-instant,1,126,14,7.420000000000001e-06,1.3677060000045458,False,100.0,False
1,llm_judge,llama-3.1-8b-instant,1,173,7,9.210000000000002e-06,3.003026399994269,True,,False
